top - 15:25:27 up  6:39,  1 user,  load average: 0.20, 0.36, 0.56
Tasks: 464 total,   1 running, 463 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.5 us,  1.5 sy,  0.0 ni, 94.0 id,  0.0 wa,  0.5 hi,  0.5 si,  0.0 st
MiB Mem :  31938.8 total,  13270.3 free,   6226.0 used,  12442.5 buff/cache
MiB Swap:   8192.0 total,   8192.0 free,      0.0 used.  23849.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8326 daemonna  20   0   38.7g 277808 120996 S  18.8   0.8   1:34.18 code
   8425 daemonna  20   0   28.7g 146580  99300 S  12.5   0.4   0:18.61 code
   5211 daemonna  20   0 1120408 109660  67460 S   6.2   0.3   5:15.65 Xwayland
   8302 daemonna  20   0   16.8g 111460  81100 S   6.2   0.3   0:30.00 code
  65936 root      20   0       0      0      0 I   6.2   0.0   0:00.07 kworker/u24:1-btrfs-endio-write
  66785 daemonna  20   0  226544   4520   3544 R   6.2   0.0   0:00.01 top
      1 root      20   0  173364  17836  11060 S   0.0   0.1   0:02.21 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_kthread
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_rude_kthread
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_trace_kthread
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftirqd/0
     15 root      20   0       0      0      0 I   0.0   0.0   0:29.57 rcu_preempt
     16 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migration/0
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root      rt   0       0      0      0 S   0.0   0.0   0:00.16 migration/1
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.11 ksoftirqd/1
     22 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     24 root      rt   0       0      0      0 S   0.0   0.0   0:00.16 migration/2
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.08 ksoftirqd/2
     27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-kblockd
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.16 migration/3
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftirqd/3
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-events_highpri
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     34 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migration/4
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftirqd/4
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-events_highpri
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     39 root      rt   0       0      0      0 S   0.0   0.0   0:00.16 migration/5
     40 root      20   0       0      0      0 S   0.0   0.0   0:08.48 ksoftirqd/5
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-events_highpri
     43 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     44 root      rt   0       0      0      0 S   0.0   0.0   0:00.16 migration/6
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftirqd/6
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0H-events_highpri
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     49 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migration/7
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.08 ksoftirqd/7
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/7:0H-events_highpri
     53 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     54 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migration/8
     55 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftirqd/8
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/8:0H-events_highpri
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     59 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migration/9
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.19 ksoftirqd/9
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/9:0H-events_highpri
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     64 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migration/10
     65 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftirqd/10
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/10:0H-events_highpri
     68 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     69 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migration/11
     70 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftirqd/11
     72 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0H-events_highpri
     73 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kauditd
     76 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     78 root      20   0       0      0      0 S   0.0   0.0   0:00.19 kcompactd0
     79 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     80 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     92 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.42 kworker/0:1H-kblockd
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    107 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-aerdrv
    108 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-pcie-dpc
    109 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124-aerdrv
    110 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124-pcie-dpc
    111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125-aerdrv
    112 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125-pcie-dpc
    113 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/126-aerdrv
    114 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/126-pcie-dpc
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    125 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dm_bufio_cache
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    135 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    148 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    253 root       0 -20       0      0      0 I   0.0   0.0   0:00.45 kworker/2:1H-kblockd
    292 root       0 -20       0      0      0 I   0.0   0.0   0:00.34 kworker/1:1H-kblockd
    301 root       0 -20       0      0      0 I   0.0   0.0   0:00.56 kworker/8:1H-kblockd
    306 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipmi-msghandler
    310 root       0 -20       0      0      0 I   0.0   0.0   0:00.27 kworker/3:1H-kblockd
    312 root       0 -20       0      0      0 I   0.0   0.0   0:00.68 kworker/7:1H-events_highpri
    313 root       0 -20       0      0      0 I   0.0   0.0   0:00.54 kworker/10:1H-kblockd
